Optimism Geth Workshop,Wave/Round,Term,Amount (ETH),Amount (USD)
Referral for ENS,Public Goods Small Grants 1,Aug 2022,1.00,"$1,555.12"
Fast ENS API for web3 dapps,Public Goods Small Grants 1,Aug 2022,1.00,"$1,555.12"
Metabadge,Public Goods Small Grants 1,Aug 2022,1.00,"$1,555.12"
Charisma Social - Find People and Projects with Similar Values,Public Goods Small Grants 1,Aug 2022,1.00,"$1,555.12"
🔥ENS Updates🔥,Public Goods Small Grants 1,Aug 2022,1.00,"$1,555.12"
Revoke.cash,Public Goods Small Grants 2,Oct 2022,1.00,"$1,572.89"
Override Snapshot Strategy,Public Goods Small Grants 2,Oct 2022,1.00,"$1,572.89"
Dappnode Builders Guild,Public Goods Small Grants 2,Oct 2022,1.00,"$1,572.89"
Karma discourse forum plugin,Public Goods Small Grants 2,Oct 2022,1.00,"$1,572.89"
web3 scaffold,Public Goods Small Grants 2,Oct 2022,1.00,"$1,572.89"
ETH Back,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
Revoke.cash,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
web3 scaffold,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
Discourse forum plugin to display active proposals as banner,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
Cookbook,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
DAO Governance Education Sessions,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
Women Build Web3,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
ABI Ninja,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
Impersonator,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
tokenicons.org,Public Goods Small Grants 3,Nov 2022,1.00,"$1,294.41"
ETH Back,Public Goods Small Grants 4,Dec 2022,1.00,"$1,195.67"
Citadef - a .eth blogging platform,Public Goods Small Grants 4,Dec 2022,1.00,"$1,195.67"
Cookbook 🧑‍🍳,Public Goods Small Grants 4,Dec 2022,1.00,"$1,195.67"
Future Diaries,Public Goods Small Grants 4,Dec 2022,1.00,"$1,195.67"
ThePlaza: Twitter on ENS,Public Goods Small Grants 4,Dec 2022,1.00,"$1,195.67"
Revoke.cash,Public Goods Small Grants 5,Feb 2023,1.00,"$1,604.69"
GasHawk: Save on TX fees - for FREE,Public Goods Small Grants 5,Feb 2023,1.00,"$1,604.69"
Pairwise: Tinder UX for web3 community signaling,Public Goods Small Grants 5,Feb 2023,1.00,"$1,604.69"
Inverter Network,Public Goods Small Grants 5,Feb 2023,1.00,"$1,604.69"
Free DeFi Courses,Public Goods Small Grants 5,Feb 2023,1.00,"$1,604.69"
Guatemala's first Ethereum conference,Public Goods Small Grants 6,Mar 2023,1.00,"$1,821.62"
Revoke.cash,Public Goods Small Grants 6,Mar 2023,1.00,"$1,821.62"
Arabic Web3 Education,Public Goods Small Grants 6,Mar 2023,1.00,"$1,821.62"
Launching a Token Engineering Grants Program,Public Goods Small Grants 6,Mar 2023,1.00,"$1,821.62"
GasHawk: Save on TX fees - for FREE,Public Goods Small Grants 6,Mar 2023,1.00,"$1,821.62"
Scaffold-ETH (v2),Public Goods Small Grants 7,Apr 2023,1.00,"$1,868.88"
Arabic Web3 Education,Public Goods Small Grants 7,Apr 2023,1.00,"$1,868.88"
ABI Data,Public Goods Small Grants 7,Apr 2023,1.00,"$1,868.88"
GasHawk: Save on TX fees - for FREE,Public Goods Small Grants 7,Apr 2023,1.00,"$1,868.88"
Pairwise,Public Goods Small Grants 7,Apr 2023,1.00,"$1,868.88"
Dappnod,Public Goods Small Grants 8,May 2023,1.00,"$1,873.63"
GasHawk: Save on TX fees - for FREE,Public Goods Small Grants 8,May 2023,1.00,"$1,873.63"
EVMcrispr,Public Goods Small Grants 8,May 2023,1.00,"$1,873.63"
Giveth - Building the Future of Giving,Public Goods Small Grants 8,May 2023,1.00,"$1,873.63"
"Guatemalan bootcamp, hackathon and 2nd conference",Public Goods Small Grants 8,May 2023,1.00,"$1,873.63"
rotki,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Arabic Web3 Education,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Bright ID,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Giveth - Building the Future of Giving,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Commons Stack,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Praise – Recognize. Reward. Repeat.,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
TokenWiki.eth,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Regens Unite,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Unitap,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Pairwise,Public Goods Small Grants 9,Jun 2023,1.00,"$1,933.80"
Giveth - Building the Future of Giving,Public Goods Small Grants 10,Nov 2023,5.00,"$10,257.80"
Ethereum News by @ethdaily,Public Goods Small Grants 10,Nov 2023,3.00,"$6,154.68"
dm3 - the web3 messaging interoperability protocol,Public Goods Small Grants 10,Nov 2023,2.00,"$4,103.12"
rotki,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
"Pairwise: Simplifying Choices, Amplifying Voices",Public Goods Small Grants 10,Nov 2023,0.30,$615.47
EIP-7212 Research,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
Arabic Web3 Education,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
MetaGame,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
BrightID,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
Unitap,Public Goods Small Grants 10,Nov 2023,0.30,$615.47
Giveth - Building the Future of Giving,Public Goods Small Grants 11,Dec 2023,5.00,"$11,409.50"
Dappnode,Public Goods Small Grants 11,Dec 2023,3.00,"$6,845.70"
LikeButton.eth,Public Goods Small Grants 11,Dec 2023,2.00,"$4,563.80"
rotki,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
"Pairwise: Simplifying Choices, Amplifying Voices",Public Goods Small Grants 11,Dec 2023,0.30,$684.57
Commons Stack,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
dm3 - the web3 messaging interoperability protocol,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
MetaGame,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
Gravity DAO,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
Ethereum News Podcast,Public Goods Small Grants 11,Dec 2023,0.30,$684.57
ETH Daily - Ethereum News,Public Goods Small Grants 12,May 2024,3.00,"$11,287.98"
"Pairwise - Simplifying Choices, Amplifying Voices",Public Goods Small Grants 12,May 2024,2.00,"$7,525.32"
Glo Dollar,Public Goods Small Grants 12,May 2024,1.00,"$3,762.66"
rotki,Public Goods Small Grants 12,May 2024,0.25,$940.67
Dhive,Public Goods Small Grants 12,May 2024,0.25,$940.67
Modular Crypto (Education about Web3),Public Goods Small Grants 12,May 2024,0.25,$940.67
x23.ai,Public Goods Small Grants 12,May 2024,0.25,$940.67
Retroactive public goods funding by Bloom Network,Public Goods Small Grants 12,May 2024,0.25,$940.67
UPE - Enabling local data ownership & management.,Public Goods Small Grants 12,May 2024,0.25,$940.67
Illuminated,Public Goods Small Grants 12,May 2024,0.25,$940.67
rotki,Public Goods Small Grants 13,Jun 2024,3.00,"$10,313.52"
Impersonator,Public Goods Small Grants 13,Jun 2024,2.00,"$6,875.68"
ETH Daily - Ethereum News,Public Goods Small Grants 13,Jun 2024,1.00,"$3,437.84"
EAS Attestation Explorer,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Pairwise,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
ABI Ninja,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Governance Day,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Modular Crypto | Educational Project,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
x23.ai,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Trusted Seed,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
davidmihal.eth,Public Goods Growth Grants 1,Dec 2024,"85,657.06","$12,000.00"
carletex.eth,Public Goods Growth Grants 1,Dec 2024,"84,018.23","$12,000.00"
hellenstans.eth,Public Goods Growth Grants 1,Dec 2024,"79,662.51","$12,000.00"
cookbookdev.eth,Public Goods Growth Grants 1,Dec 2024,"78,199.65","$12,000.00"
albertocevallos.eth,Public Goods Growth Grants 1,Dec 2024,"73,489.50","$12,000.00"
lcfr.eth,Public Goods Growth Grants 1,Dec 2024,"71,866.56","$12,000.00"
DAppNode,Public Goods Large Grants 1,May 2023,"70,988.29","$10,000.00"
Revoke.cash,Public Goods Large Grants 1,May 2023,"68,834.84","$10,000.00"
EVMcrisper,Public Goods Large Grants 1,May 2023,"65,259.35","$10,000.00"
Gashawk,Public Goods Large Grants 1,May 2023,"65,055.77","$10,000.00"
Ethereum Guatemala,Public Goods Large Grants 1,May 2023,"63,907.22","$10,000.00"
Ethereum Cat Herders,Public Goods Large Grants 1,Jun 2023,"63,437.90","$50,000.00"
wagmi,Public Goods Large Grants 1,Jun 2023,"62,838.16","$50,000.00"
SheFi,Public Goods Large Grants 1,Jun 2023,"62,648.76","$50,000.00"
Token Engineering Commons & Token Academy,Public Goods Large Grants 1,Jun 2023,"61,332.92","$50,000.00"
DAOstar & Metagov Grant Innovation Grant,Public Goods Large Grants 2,"Oct - Dec, 2023","60,038.39","$40,000.00"
EIP-7212 Development and Advocating by Clave,Public Goods Large Grants 2,"Oct - Dec, 2023","58,260.33","$35,000.00"
Ethereum Follow Protocol,Public Goods Large Grants 2,"Oct - Dec, 2023","58,180.59","$50,000.00"
Gashawk,Public Goods Large Grants 2,"Oct - Dec, 2023","58,066.79","$50,000.00"
Revoke.cash,Public Goods Large Grants 2,"Oct - Dec, 2023","57,564.71","$50,000.00"
Rotki,Public Goods Large Grants 2,"Oct - Dec, 2023","56,339.40","$50,000.00"
Smooth: Dappnode’s MEV Smoothing Pool,Public Goods Large Grants 2,"Oct - Dec, 2023","55,061.82","$25,000.00"
Scaffold-ETH 2,Public Goods Large Grants 3,"Jun - Dec, 2024","54,551.25","$45,000.00"
Urbe Campus,Public Goods Large Grants 3,"Jun - Dec, 2024","52,240.79","$40,000.00"
Rotki,Public Goods Large Grants 3,"Jun - Dec, 2024","52,154.24","$25,000.00"
Firefly,Public Goods Large Grants 3,"Jun - Dec, 2024","51,001.26","$50,000.00"
Gashawk,Public Goods Large Grants 3,"Jun - Dec, 2024","49,979.68","$40,000.00"
Borderless Africa,Public Goods Large Grants 3,"Jun - Dec, 2024","48,486.28","$50,000.00"
Onboarding and training LATAM developers,Public Goods Large Grants 3,"Jun - Dec, 2024","48,081.33","$32,000.00"